model,seed,epoch,loss_type,loss_value
gnn,37,42,train,0.3022231480366611
gnn,37,42,val,0.3365320090890339
gnn,37,43,train,0.2599755946658741
gnn,37,43,val,0.352028063917626
gnn,37,44,train,0.27397540528999104
gnn,37,44,val,0.3089680338104742
gnn,37,45,train,0.2758406937290115
gnn,37,45,val,0.3158973675267972
gnn,37,46,train,0.27438840614647975
gnn,37,46,val,0.3337744243929581
gnn,37,47,train,0.28977361772430354
gnn,37,47,val,0.327417231821805
gnn,37,48,train,0.2532528920620719
gnn,37,48,val,0.2938224943096373
gnn,37,49,train,0.26835222160036654
gnn,37,49,val,0.30962991559267505
gnn,37,50,train,0.24299853897244306
gnn,37,50,val,0.28678960676868887
gnn,37,51,train,0.25571795957982607
gnn,37,51,val,0.2966156159932123
gnn,37,52,train,0.2553324336573648
gnn,37,52,val,0.3077379600471826
gnn,37,53,train,0.2804464195807606
gnn,37,53,val,0.31394800358125347
gnn,37,54,train,0.25986637708936267
gnn,37,54,val,0.2823667258233188
gnn,37,55,train,0.2536575606322131
gnn,37,55,val,0.29070929556976327
gnn,37,56,train,0.24585596507101048
gnn,37,56,val,0.2797933234380855
gnn,37,57,train,0.2552519364331479
gnn,37,57,val,0.27156718408958164
gnn,37,58,train,0.26213938927495245
gnn,37,58,val,0.269186988387358
gnn,37,59,train,0.24086952491442018
gnn,37,59,val,0.25971568423174696
gnn,37,60,train,0.26358158793020287
gnn,37,60,val,0.2996180413594105
gnn,37,61,train,0.27416895356246435
gnn,37,61,val,0.3122227539556296
gnn,37,62,train,0.26455464748250584
gnn,37,62,val,0.2848925196199577
gnn,37,63,train,0.2443045592085965
gnn,37,63,val,0.28943578152474475
gnn,37,64,train,0.2502884054203448
gnn,37,64,val,0.2735321459581873
gnn,37,65,train,0.26099374893461297
gnn,37,65,val,0.30384376643922406
gnn,37,66,train,0.25399208641245813
gnn,37,66,val,0.28469167304382204
gnn,37,67,train,0.2742666108358848
gnn,37,67,val,0.30356732063044867
